設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
縣市立,宜蘭縣,75,0,0,0,0,0,1,4,0,5,0,0,0,0,2,12,0,3,0,3,40,0,0,0,0,0,1.33,5.33,0,6.67,0,0,0,0,2.67,16,0,4,0,4
縣市立,新竹縣,444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0
縣市立,苗栗縣,544,1,0,1,0,0,1,1,0,4,0,0,0,0,1,7,0,0,0,4,3.68,0.18,0,0.18,0,0,0.18,0.18,0,0.74,0,0,0,0,0.18,1.29,0,0,0,0.74
縣市立,彰化縣,796,1,0,7,0,0,1,3,0,11,0,0,0,0,6,4,0,0,0,7,5.03,0.13,0,0.88,0,0,0.13,0.38,0,1.38,0,0,0,0,0.75,0.5,0,0,0,0.88
縣市立,南投縣,223,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0
縣市立,雲林縣,382,1,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,3.4,0.26,0,0.26,0.52,0,0.26,0,0,0,0,0,0,0,0,0.52,0,0,1.57,0
縣市立,嘉義縣,296,0,0,2,0,0,0,0,0,3,0,1,0,1,0,6,0,0,0,0,4.39,0,0,0.68,0,0,0,0,0,1.01,0,0.34,0,0.34,0,2.03,0,0,0,0
縣市立,屏東縣,585,0,0,0,0,0,1,1,0,4,0,0,0,0,7,31,0,1,2,3,8.55,0,0,0,0,0,0.17,0.17,0,0.68,0,0,0,0,1.2,5.3,0,0.17,0.34,0.51
縣市立,臺東縣,22,0,0,0,1,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,36.36,0,0,0,4.55,0,9.09,0,0,9.09,0,0,0,0,9.09,4.55,0,0,0,0
縣市立,花蓮縣,44,0,0,0,0,0,2,0,1,0,0,0,0,0,0,8,0,0,1,0,27.27,0,0,0,0,0,4.55,0,2.27,0,0,0,0,0,0,18.18,0,0,2.27,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,291,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1.72,0,0,0,0,0,0.69,0,0,0.69,0,0,0,0,0,0,0,0,0.34,0
縣市立,新竹市,898,0,0,2,0,0,2,1,0,3,0,0,0,0,0,0,0,4,3,1,1.78,0,0,0.22,0,0,0.22,0.11,0,0.33,0,0,0,0,0,0,0,0.45,0.33,0.11
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
